,BLOCK,LOT,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,SALE PRICE
0,392,6,10009,5,0,1633,6440,1900,2,6625000
3,402,21,10009,10,0,2272,6794,1913,2,3936272
4,404,55,10009,6,0,2369,4615,1900,2,8000000
6,406,32,10009,8,0,1750,4226,1920,2,3192840
9,387,153,10009,24,0,4489,18523,1920,2,16232000
11,400,21,10009,10,0,3717,12350,2009,2,10350000
13,373,40,10009,0,0,0,0,1920,2,499000
15,373,40,10009,0,0,0,0,1920,2,529500
16,373,40,10009,0,0,0,0,1920,2,423000
17,373,46,10009,0,0,0,0,1925,2,501000
18,373,49,10009,0,0,0,0,1920,2,450000
19,373,49,10009,0,0,0,0,1920,2,510000
21,375,30,10009,0,0,0,0,1902,2,350000
22,376,14,10009,24,0,4131,16776,1928,2,11900000
23,376,14,10009,0,0,0,0,1928,2,11900000
24,376,16,10009,0,0,0,0,1928,2,350000
25,376,16,10009,0,0,0,0,1928,2,404000
26,376,19,10009,0,0,0,0,1910,2,535000
27,377,54,10009,0,0,0,0,1920,2,1400000
28,377,60,10009,0,0,0,0,1900,2,866000
29,379,15,10009,0,0,0,0,1930,2,355000
31,389,21,10009,0,0,0,0,1900,2,805000
32,389,49,10009,0,0,0,0,1910,2,475000
33,389,50,10009,0,0,0,0,1920,2,450000
34,389,50,10009,0,0,0,0,1920,2,450000
35,390,55,10009,0,0,0,0,1935,2,810000
37,391,14,10009,0,0,0,0,1910,2,300000
38,391,14,10009,0,0,0,0,1910,2,300000
39,391,48,10009,0,0,0,0,1910,2,579000
40,391,57,10009,0,0,0,0,1900,2,1500000
41,393,39,10009,0,0,0,0,1900,2,25000
42,394,52,10009,0,0,0,0,1937,2,512000
43,394,52,10009,0,0,0,0,1937,2,410000
44,394,52,10009,0,0,0,0,1937,2,500000
45,394,52,10009,0,0,0,0,1937,2,510000
46,396,20,10009,0,0,0,0,1920,2,475000
47,396,20,10009,0,0,0,0,1920,2,789019
50,396,20,10009,0,0,0,0,1920,2,425000
51,396,20,10009,0,0,0,0,1920,2,490000
52,397,25,10009,0,0,0,0,1915,2,409000
53,397,25,10009,0,0,0,0,1915,2,415000
54,398,58,10009,0,0,0,0,1950,2,420000
55,398,58,10009,0,0,0,0,1950,2,435000
56,400,45,10009,0,0,0,0,1937,2,575000
57,400,45,10009,0,0,0,0,1937,2,605000
58,401,12,10009,0,0,0,0,1900,2,799000
59,401,12,10009,0,0,0,0,1900,2,800000
60,401,50,10009,0,0,0,0,1900,2,54993
61,401,57,10009,0,0,0,0,1929,2,410000
62,402,47,10009,0,0,0,0,1900,2,1475000
63,404,10,10009,0,0,0,0,1929,2,335000
64,404,21,10009,0,0,0,0,1920,2,490000
65,404,26,10009,0,0,0,0,1928,2,750000
66,404,27,10009,0,0,0,0,1900,2,780000
67,404,57,10009,0,0,0,0,1925,2,2400000
68,405,51,10009,0,0,0,0,1910,2,380000
69,406,50,10009,0,0,0,0,1901,2,430000
70,379,45,10009,0,0,0,0,1920,2,499900
71,386,36,10009,0,0,0,0,1940,2,1400000
72,386,58,10009,0,0,0,0,1900,2,694000
73,385,1102,10009,47,0,0,36472,2005,2,28000000
74,394,1602,0,0,0,0,0,0,2,8058923
75,397,1301,10002,132,0,33650,0,1989,2,52625000
76,386,1002,10009,1,0,0,0,0,2,620000
79,373,1003,10009,1,0,0,0,1920,2,762669
80,373,1004,10009,1,0,0,0,1920,2,772851
81,373,1005,10009,1,0,0,0,1920,2,1034880
85,373,1009,10009,1,0,0,0,1920,2,800000
86,373,1011,10009,1,0,0,0,1920,2,2295759
87,375,1004,10009,1,0,0,0,0,2,875000
95,378,1008,10009,1,0,0,0,2014,2,701341
