,Unnamed: 0,BLOCK,LOT,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,SALE PRICE
0,0,392,6,10009,5,0,1633,6440,1900,2,6625000
1,3,402,21,10009,10,0,2272,6794,1913,2,3936272
2,4,404,55,10009,6,0,2369,4615,1900,2,8000000
3,6,406,32,10009,8,0,1750,4226,1920,2,3192840
4,9,387,153,10009,24,0,4489,18523,1920,2,16232000
5,11,400,21,10009,10,0,3717,12350,2009,2,10350000
13,22,376,14,10009,24,0,4131,16776,1928,2,11900000
60,73,385,1102,10009,47,0,0,36472,2005,2,28000000
62,75,397,1301,10002,132,0,33650,0,1989,2,52625000
123,172,391,19,10009,3,1,1520,3360,1910,2,3300000
124,173,393,4,10009,4,1,2201,5608,1900,2,7215000
125,174,394,5,10009,5,1,1779,3713,1910,2,4750000
143,195,390,34,10009,0,1,1218,3586,1899,4,3700000
146,206,771,52,10011,1,0,1975,3855,1901,1,7425000
147,212,769,49,10011,2,1,2150,4978,1920,1,7750000
148,214,719,67,10011,3,0,2469,3725,1901,1,8300000
150,216,696,37,10001,6,1,1463,3762,1901,2,16000000
151,218,722,6,10011,4,0,2057,2890,1910,2,5950000
152,219,743,56,10011,24,0,2307,4500,1900,2,7375000
153,220,745,63,10011,4,0,2057,3042,1900,2,8000000
154,221,764,68,10011,22,2,2581,13056,1901,2,14100000
155,222,765,25,10011,9,0,1566,6330,1901,2,1583840
156,223,765,25,10011,9,0,1566,6330,1901,2,416790
157,224,765,25,10011,9,0,1566,6330,1901,2,630370
158,227,770,53,10011,9,0,2029,8540,1920,2,29400000
159,230,790,8,10011,8,1,2581,7650,1920,2,6450000
160,231,790,9,10011,15,1,2077,6335,1901,2,5500000
161,232,790,10,10011,8,1,1952,5955,1920,2,5750000
162,233,790,63,10011,8,0,2000,4100,1910,2,3485000
163,234,695,6,10011,6,1,2469,19892,2014,2,4600000
164,239,794,11,10011,30,2,10053,78882,2014,2,2341975
199,277,744,32,10011,24,0,4600,12200,1850,2,282000
682,831,716,1,10011,4,1,1875,5225,1910,2,10581818
683,834,769,69,10011,4,2,2500,4447,1910,2,8250000
772,928,692,63,10011,0,3,1360,4080,1900,4,17300000
773,929,790,32,10011,1,1,6468,14056,1953,4,42400000
774,931,801,24,10001,0,13,9875,113062,1906,4,150000000
775,932,801,58,10001,0,5,2469,10250,1930,4,10150000
776,937,696,28,10011,0,1,3950,7900,2013,4,10750000
777,938,716,2,10011,0,1,1675,3909,1910,4,8818181
778,940,717,5,10011,0,1,3800,3800,1910,4,20000000
779,941,773,1,10011,0,4,19750,39500,1932,4,107250000
